time,id,travel_id,x,y,vx,vy,ax,ay
53.2771,51,1,84.6832,-1.75,-13.0895,-5.00726e-10,-4.91562,2.08636e-09
53.2771,52,1,95.0535,-1.75,-7.64755,-4.02988e-09,-5.87564,1.67912e-08
53.2771,53,3,-89.7564,1.75,1.67998,4.06128e-09,5.99974,3.07713e-07
53.2871,39,2,87.5915,1.74982,19.8027,0.000147965,0.23613,0.00092128
53.2871,41,2,50.7387,1.7533,18.193,0.011057,1.90907,-0.0726853
53.2871,42,2,30.1183,1.64579,13.9819,0.109627,4.58536,0.420734
53.2871,43,2,16.0316,2.89909,12.0773,-3.16158,1.54524,3.28133
53.2871,44,2,3.32889,5.24546,12.409,-0.00336061,1.17741,0.0515733
53.2871,45,1,-27.6101,-1.75,-19.9908,1.32849e-09,-0.0110626,-5.53538e-09
53.2871,46,2,-20.0185,5.25674,12.4389,0.728262,1.09301,-3.02994
53.2871,47,1,12.1142,-1.75,-19.8993,-5.88137e-09,-0.121307,2.45057e-08
53.2871,48,2,-44.3192,1.75,12.7947,-2.66159e-11,-0.047493,1.109e-10
53.2871,49,1,51.1106,-1.75,-18.965,2.70786e-10,-1.16081,-1.12828e-09
53.2871,50,2,-70.8264,1.75,14.1919,-5.88249e-09,0.475025,2.45104e-08
53.2871,51,1,84.5518,-1.75,-13.1385,-4.80697e-10,-4.89912,2.0029e-09
53.2871,52,1,94.9764,-1.75,-7.70627,-3.86869e-09,-5.87173,1.61196e-08
53.2871,53,3,-89.739,1.75,1.73998,4.0067e-09,5.9997,-5.4583e-09
53.2971,39,2,87.7896,1.74982,19.805,0.000156694,0.233269,0.000872985
53.2971,41,2,50.9208,1.75341,18.2119,0.0103504,1.89171,-0.0706628
53.2971,42,2,30.2586,1.64693,14.0275,0.113579,4.56667,0.395134
53.2971,43,2,16.1526,2.8678,12.0926,-3.12857,1.53694,3.30195
53.2971,44,2,3.32889,5.24546,12.409,-0.00336061,1.17741,0.0515733
53.2971,45,1,-27.8101,-1.75,-19.9909,1.27535e-09,-0.0110626,-5.31396e-09
53.2971,46,2,-19.8936,5.26373,12.4899,0.698592,5.09605,-2.96701
53.2971,47,1,11.9152,-1.75,-19.9005,-5.64611e-09,-0.119972,2.35255e-08
53.2971,48,2,-44.1913,1.75,12.7942,-2.55513e-11,-0.0463486,1.06464e-10
53.2971,49,1,50.9208,-1.75,-18.9765,2.59954e-10,-1.14899,-1.08314e-09
53.2971,50,2,-70.6845,1.75,14.1965,-5.64719e-09,0.464153,2.353e-08
53.2971,51,1,84.4199,-1.75,-13.1874,-4.61469e-10,-4.88262,1.92279e-09
53.2971,52,1,94.8987,-1.75,-7.76495,-3.71394e-09,-5.86777,1.54748e-08
53.2971,53,3,-89.721,1.75,1.79998,7.26968e-09,5.99966,3.26298e-07
53.3071,39,2,87.9876,1.74982,19.8073,0.000164951,0.230598,0.000825668
53.3071,41,2,51.1031,1.7535,18.2307,0.00966371,1.87473,-0.0686641
53.3071,42,2,30.3994,1.6481,14.073,0.117281,4.54788,0.370242
53.3071,43,2,16.2736,2.83686,12.1076,-3.09442,1.49269,3.41449
53.3071,44,2,3.45301,5.24494,12.4127,-0.0520323,0.370216,-4.86717
53.3071,45,1,-28.01,-1.75,-19.991,1.22434e-09,-0.0108719,-5.10141e-09
53.3071,46,2,-19.7682,5.27043,12.5407,0.66955,5.08175,-2.90421
53.3071,47,1,11.7162,-1.75,-19.9017,-5.42027e-09,-0.118446,2.25845e-08
53.3071,48,2,-44.0633,1.75,12.7938,-2.45293e-11,-0.0452042,1.02205e-10
53.3071,49,1,50.7309,-1.75,-18.9878,2.49556e-10,-1.13716,-1.03982e-09
53.3071,50,2,-70.5425,1.75,14.201,-5.42131e-09,0.453472,2.25888e-08
53.3071,51,1,84.2875,-1.75,-13.236,-4.4301e-10,-4.86584,1.84588e-09
53.3071,52,1,94.8205,-1.75,-7.82359,-3.56538e-09,-5.86367,1.48558e-08
53.3071,53,3,-89.7024,1.75,1.85997,7.16499e-09,5.9996,-1.04682e-08
53.3171,39,2,88.1857,1.74982,19.8096,0.000172744,0.227928,0.00077929
53.3171,41,2,51.2856,1.75359,18.2493,0.0089968,1.85776,-0.066691
53.3171,42,2,30.5405,1.64931,14.1183,0.120742,4.5289,0.34605
53.3171,43,2,16.3949,2.80627,12.1221,-3.0592,1.44863,3.52223
53.3171,44,2,3.57718,5.24393,12.4164,-0.100385,0.369263,-4.83522
53.3171,45,1,-28.2099,-1.75,-19.9911,1.17536e-09,-0.0106812,-4.89735e-09
53.3171,46,2,-19.6426,5.27684,12.5544,0.641134,1.37224,-2.84161
53.3171,47,1,11.5171,-1.75,-19.9028,-5.20346e-09,-0.117111,2.16811e-08
53.3171,48,2,-43.9354,1.75,12.7933,-2.35481e-11,-0.0441551,9.8117e-11
53.3171,49,1,50.541,-1.75,-18.9991,2.39574e-10,-1.12553,-9.98224e-10
53.3171,50,2,-70.4004,1.75,14.2055,-5.20445e-09,0.442791,2.16852e-08
53.3171,51,1,84.1547,-1.75,-13.2845,-4.2529e-10,-4.84905,1.77204e-09
53.3171,52,1,94.7417,-1.75,-7.88218,-3.42277e-09,-5.85952,1.42615e-08
53.3171,53,3,-89.6832,1.75,1.91997,7.05838e-09,5.99955,-1.06614e-08
53.3271,39,2,88.3839,1.74982,19.8119,0.000180092,0.225258,0.000734767
53.3271,41,2,51.4683,1.75368,18.2677,0.00834937,1.84078,-0.0647433
